iter	MultiClass
0	0.9776866853
1	0.897922385
2	0.8499217969
3	0.8322026501
4	0.8158244108
5	0.8046733392
6	0.7937165295
7	0.7790915457
8	0.7714178419
9	0.7646882406
10	0.7620797588
11	0.7583674728
12	0.7561388901
13	0.7518464232
14	0.7461531502
15	0.740809124
16	0.7349722854
17	0.7326970536
18	0.7287369108
19	0.7260756116
20	0.7253515059
21	0.7239141142
22	0.7228690345
23	0.7203041703
24	0.7189029893
25	0.7172359364
26	0.7155278259
27	0.7141719298
28	0.7123998027
29	0.7109686263
30	0.7102642756
31	0.7096910705
32	0.7090313095
33	0.7075767858
34	0.7053430809
35	0.7048861519
36	0.7034271526
37	0.7023432132
38	0.7012821368
39	0.6992569854
40	0.6987398811
41	0.6979411875
42	0.6958546824
43	0.6934813872
44	0.6929667536
45	0.6924867705
46	0.6911592712
47	0.6900329862
48	0.6885262674
49	0.6876865725
50	0.686027539
51	0.6846651811
52	0.6841841559
53	0.6830796205
54	0.6822611935
55	0.6814449984
56	0.6795709082
57	0.6785876224
58	0.6775655689
59	0.676702966
60	0.6761440372
61	0.6752033446
62	0.6744539474
63	0.6727802591
64	0.672505887
65	0.6720466158
66	0.6699486756
67	0.6688241067
68	0.6675820435
69	0.6666159083
70	0.6647534406
71	0.6640446686
72	0.6636295046
73	0.6629792733
74	0.6626079521
75	0.6617947184
76	0.6604219061
77	0.6594205265
78	0.6581640781
79	0.6575836017
80	0.656865444
81	0.6556194866
82	0.6547155675
83	0.6538726137
84	0.6520100788
85	0.6516319991
86	0.6500669213
87	0.6497405399
88	0.6491226626
89	0.648287432
90	0.6475027922
91	0.6469446622
92	0.6461942772
93	0.6451438837
94	0.6442869446
95	0.6439022866
96	0.6437289072
97	0.6431644853
98	0.6425905311
99	0.6413495065
100	0.640638264
101	0.6400108169
102	0.6395591634
103	0.6390386735
104	0.638394413
105	0.6375156884
106	0.6367591992
107	0.6362628644
108	0.6353777069
109	0.6335888989
110	0.6320440942
111	0.6318151627
112	0.6308160313
113	0.6296329398
114	0.628400619
115	0.6281478019
116	0.6275587519
117	0.6261815219
118	0.6258893751
119	0.6257958518
120	0.6249813145
121	0.6242302843
122	0.6220995577
123	0.6212305796
124	0.620462837
125	0.619833039
126	0.6192120263
127	0.6180515258
128	0.6176207536
129	0.6169550142
130	0.6162321552
131	0.6149490074
132	0.6137068311
133	0.6115625679
134	0.6103476182
135	0.6093836141
136	0.608461557
137	0.606612865
138	0.6061240649
139	0.6049481628
140	0.6042146375
141	0.6034605967
142	0.6027226989
143	0.6010644637
144	0.5996143955
145	0.5980837529
146	0.5974106592
147	0.5966423107
148	0.596071673
149	0.5957790707
150	0.5955855618
151	0.5942444075
152	0.5932548626
153	0.592228753
154	0.591717225
155	0.5916108613
156	0.5909081087
157	0.589630641
158	0.589213213
159	0.5879967006
160	0.5870938973
161	0.5862184999
162	0.585209044
163	0.5836489274
164	0.5831605823
165	0.5825205847
166	0.581507461
167	0.5804714614
168	0.5789610422
169	0.5781901451
170	0.5774223114
171	0.5764069942
172	0.5757860896
173	0.5752413885
174	0.5741503771
175	0.5733943511
176	0.5730591352
177	0.5724642976
178	0.5714451238
179	0.5711156679
180	0.5707599644
181	0.5699512878
182	0.5685823247
183	0.5677991546
184	0.5672363237
185	0.565710646
186	0.5642866869
187	0.5639892493
188	0.5631911608
189	0.562653795
190	0.5619455791
191	0.5606583919
192	0.5590721719
193	0.5577820527
194	0.5566153147
195	0.5554987506
196	0.5548790569
197	0.5544488902
198	0.5522565748
199	0.5505227429
200	0.5493345685
201	0.5487508421
202	0.5474382449
203	0.5468095418
204	0.5458193263
205	0.5444928064
206	0.5443192979
207	0.5438952294
208	0.543439583
209	0.5430210886
210	0.5427994858
211	0.5419288233
212	0.540256681
213	0.5393643827
214	0.5385232199
215	0.5367360963
216	0.535329913
217	0.5343803713
218	0.5338134021
219	0.5332763479
220	0.53228705
221	0.5317981298
222	0.5309418198
223	0.5303193275
224	0.5293115531
225	0.5286927709
226	0.527963339
227	0.527688627
228	0.5265144508
229	0.5256861904
230	0.5249474801
231	0.5240030709
232	0.5234567123
233	0.5224437363
234	0.5218461872
235	0.5211724361
236	0.5204769616
237	0.5202876074
238	0.5198321195
239	0.5185338363
240	0.5183194737
241	0.5174466083
242	0.5160797003
243	0.5158154971
244	0.5152340056
245	0.5137794041
246	0.5135790976
247	0.5128885389
248	0.5117141012
249	0.5113588291
