iter	Passed	Remaining
0	149	37180
1	302	37554
2	432	35621
3	587	36117
4	757	37106
5	893	36330
6	1041	36171
7	1251	37843
8	1406	37653
9	1644	39468
10	1847	40141
11	2025	40173
12	2162	39422
13	2332	39326
14	2435	38152
15	2596	37979
16	2755	37762
17	2878	37106
18	3073	37361
19	3242	37286
20	3374	36797
21	3552	36815
22	3685	36369
23	3857	36327
24	4036	36330
25	4165	35891
26	4323	35710
27	4443	35229
28	4606	35104
29	4768	34966
30	4899	34612
31	5033	34289
32	5160	33936
33	5345	33957
34	5525	33945
35	5651	33594
36	5818	33497
37	5943	33158
38	6117	33099
39	6275	32947
40	6411	32680
41	6585	32611
42	6753	32513
43	6888	32249
44	7036	32055
45	7162	31766
46	7338	31696
47	7506	31588
48	7613	31231
49	7787	31150
50	7935	30964
51	8134	30972
52	8319	30921
53	8449	30668
54	8684	30789
55	8910	30868
56	9105	30830
57	9287	30743
58	9417	30488
59	9605	30417
60	9753	30219
61	9880	29960
62	10066	29878
63	10193	29623
64	10379	29540
65	10569	29466
66	10702	29232
67	10909	29197
68	11160	29276
69	11289	29030
70	11413	28774
71	11587	28646
72	11767	28531
73	11911	28329
74	12170	28398
75	12350	28276
76	12528	28148
77	12679	27960
78	12866	27849
79	13044	27720
80	13160	27457
81	13332	27315
82	13459	27082
83	13668	27010
84	13850	26886
85	13979	26659
86	14139	26491
87	14290	26307
88	14436	26115
89	14678	26094
90	14878	25997
91	15066	25874
92	15186	25637
93	15384	25531
94	15566	25397
95	15698	25182
96	15912	25098
97	16092	24959
98	16308	24874
99	16448	24672
100	16616	24513
101	16814	24397
102	16957	24201
103	17127	24043
104	17301	23893
105	17446	23700
106	17612	23537
107	17772	23367
108	17903	23159
109	18132	23078
110	18330	22954
111	18516	22814
112	18646	22607
113	18809	22439
114	18949	22245
115	19294	22287
116	19430	22087
117	19608	21934
118	19717	21705
119	19880	21536
120	20032	21357
121	20178	21170
122	20452	21118
123	20709	21043
124	20925	20925
125	21143	20808
126	21311	20640
127	21456	20450
128	21639	20297
129	21826	20147
130	21974	19961
131	22139	19791
132	22300	19617
133	22434	19421
134	22620	19268
135	22806	19116
136	22966	18943
137	23180	18813
138	23367	18660
139	23550	18503
140	23686	18310
141	23875	18158
142	24071	18011
143	24198	17812
144	24382	17656
145	24580	17509
146	24713	17316
147	24883	17149
148	25058	16985
149	25182	16788
150	25365	16630
151	25562	16480
152	25713	16302
153	25897	16144
154	26054	15969
155	26179	15774
156	26370	15620
157	26595	15485
158	26733	15300
159	26888	15124
160	27043	14949
161	27183	14766
162	27366	14606
163	27540	14442
164	27670	14254
165	27854	14094
166	28039	13935
167	28173	13751
168	28354	13590
169	28488	13406
170	28679	13249
171	28847	13081
172	28985	12900
173	29166	12739
174	29329	12569
175	29469	12390
176	29656	12231
177	29838	12069
178	29970	11887
179	30150	11725
180	30337	11565
181	30479	11387
182	30648	11221
183	30817	11054
184	30963	10879
185	31352	10787
186	31546	10627
187	31675	10446
188	31847	10278
189	31984	10100
190	32172	9938
191	32366	9777
192	32543	9611
193	32671	9431
194	32850	9265
195	33061	9108
196	33180	8926
197	33343	8756
198	33490	8582
199	33671	8417
200	33859	8254
201	33991	8077
202	34141	7904
203	34322	7739
204	34448	7561
205	34611	7392
206	34734	7215
207	34909	7049
208	35065	6878
209	35186	6702
210	35394	6542
211	35586	6378
212	35724	6205
213	35909	6040
214	36092	5875
215	36234	5703
216	36412	5537
217	36602	5372
218	36787	5207
219	36975	5042
220	37174	4878
221	37386	4715
222	37581	4550
223	37816	4389
224	38064	4229
225	38199	4056
226	38360	3886
227	38531	3717
228	38661	3545
229	38856	3378
230	39048	3211
231	39167	3038
232	39332	2869
233	39474	2699
234	39654	2531
235	39821	2362
236	39954	2191
237	40118	2022
238	40275	1853
239	40437	1684
240	40599	1516
241	40729	1346
242	40905	1178
243	41087	1010
244	41223	841
245	41431	673
246	41616	505
247	41806	337
248	42064	168
249	42181	0
